Student_ID,First_Name,Last_Name,Department,Gender,Age,Attendance (%),Attendence Category,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Study_Hours_Category,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,Mathematics,Female,22,97.36,High,40.61,59.61,73.69,53.17,73.4,62.84,60.55,F,10.3,Medium,Yes,No,Master's,Medium,1,5.9
S1001,Maria,Brown,Business,Male,18,97.71,High,57.27,74,74.23,98.23,88,98.23,81.66,B,27.1,High,No,No,High School,Low,4,4.3
S1002,Ahmed,Jones,Engineering,Male,24,99.52,High,41.84,63.85,85.85,50,4.7,91.22,56.24,D,12.4,Medium,Yes,No,High School,Low,9,6.1
S1003,Omar,Williams,Engineering,Female,24,90.38,High,45.65,44.44,68.1,66.27,4.2,55.48,47.36,F,25.5,High,No,Yes,High School,Low,8,4.9
S1004,John,Smith,CS,Female,23,59.41,Low,53.13,61.77,67.66,83.98,64.3,87.43,69.71,C,13.3,Medium,Yes,No,Master's,Medium,6,4.5
S1005,Liam,Brown,Mathematics,Male,21,60.6,Low,70.21,64.48,87.85,52.26,54.8,67.65,66.21,D,25.3,High,Yes,No,None,Medium,6,5.6
S1006,Ahmed,Jones,Business,Male,24,67.01,Low,90.85,93.74,89,54.17,15.5,87.51,71.8,B,22.1,High,Yes,No,Bachelor's,High,2,4
S1007,Ahmed,Smith,Engineering,Male,19,65.91,Low,91.72,59.47,50.72,53.83,54.8,90.04,66.76,C,16.7,Medium,Yes,Yes,None,Low,5,7.8
S1008,Omar,Smith,CS,Female,21,97.83,High,76.97,62.75,57.19,79.08,97.4,57.57,71.83,D,18.1,Medium,No,Yes,PhD,High,9,4.8
S1009,Sara,Smith,Business,Female,22,89.45,High,95.69,86.97,60.65,94.8,63.1,83.09,80.72,B,9.4,Low,Yes,No,None,High,8,7.1
S1010,John,Smith,Business,Female,23,86.2,High,70,85.54,67.58,77.77,44.9,93.14,73.16,C,7.9,Low,Yes,Yes,High School,Low,4,8.2
S1011,Omar,Williams,Mathematics,Female,20,59.3,Low,93.34,87.9,64.57,80.18,82.8,66.17,79.16,C,22.9,High,Yes,No,None,Low,7,8.6
S1012,John,Davis,Engineering,Male,21,95.48,High,67.24,97.23,83.43,67.3,21.3,54.02,65.09,C,26.2,High,No,No,None,Medium,9,6.8
S1013,John,Williams,Business,Male,18,91.39,High,56.63,87.73,91.41,50.94,41.4,51.36,63.25,D,23,High,No,No,PhD,Medium,5,7.9
S1014,Liam,Williams,CS,Male,19,58.18,Low,94.98,64.46,59.6,51.08,52.8,55.5,63.07,D,27.8,High,No,Yes,Bachelor's,High,2,6.3
S1015,Ahmed,Jones,CS,Male,18,93.56,High,63.28,89.29,78.15,94.42,50.5,50.21,70.98,C,27.3,High,Yes,No,Bachelor's,Low,2,6.5
S1016,Maria,Jones,Business,Female,21,63.61,Low,70.2,70.52,68.39,55.13,92.1,66.35,70.45,D,24.5,High,No,Yes,High School,High,8,6.7
S1017,Liam,Davis,CS,Female,23,54.04,Low,59.73,56.66,75.29,99.99,29.3,64.97,64.32,D,27.5,High,No,No,Bachelor's,Medium,8,7.4
S1018,Liam,Jones,Business,Male,20,82.84,Medium,79.77,58.18,81.04,58.22,5.7,55.52,56.41,D,9.2,Low,Yes,Yes,High School,High,8,7.3
S1019,John,Johnson,CS,Male,20,82.69,Medium,99.7,53.43,94.68,83.73,91.6,82.56,84.28,B,23.3,High,No,Yes,Master's,Low,5,7.9
S1020,Emma,Davis,Business,Male,18,54.75,Low,41.53,48.7,59.61,97.45,21.7,99.6,61.43,D,23.8,High,No,No,PhD,High,2,7.1
S1021,Ahmed,Jones,Business,Male,22,65.94,Low,93.99,51.07,54.35,68.11,37.9,95.05,66.75,C,8.8,Low,No,No,None,High,10,8.4
S1022,Sara,Davis,Business,Male,22,99.64,High,40.24,43.79,81.36,86.72,53.1,62.64,61.31,F,27.7,High,No,Yes,PhD,Low,8,7.5
S1023,Liam,Williams,CS,Female,23,83.92,Medium,61.85,93.31,69.71,67.54,97.6,88.5,79.75,B,5.2,Low,Yes,Yes,Bachelor's,Low,4,8.6
S1024,Maria,Williams,Business,Female,20,86.5,High,50.12,95.86,58.15,65.25,53.5,96.84,69.95,C,15.9,Medium,No,Yes,None,Low,9,7.8
S1025,Emma,Davis,Mathematics,Male,18,60.65,Low,85.44,75.21,55.85,60.09,44.8,95.32,69.45,C,5.5,Low,No,No,PhD,Medium,10,7.7
S1026,Emma,Johnson,Business,Male,18,53.94,Low,43.04,90.43,77.95,91.05,58.4,94.23,75.85,B,18.1,Medium,No,No,PhD,High,6,8.3
S1027,Sara,Johnson,Engineering,Male,18,63.85,Low,73.21,51.01,65.02,62.87,97.1,89.32,73.09,C,15.3,Medium,No,Yes,High School,High,10,7.3
S1028,Liam,Davis,Engineering,Female,21,62.44,Low,57.7,94.1,99.87,64.16,81.8,64.65,77.05,C,20.6,Medium,Yes,No,Master's,Low,7,4.9
S1029,Maria,Jones,Mathematics,Female,23,61.73,Low,48.02,70.38,70.3,99.95,16.9,54.18,59.96,D,24.2,High,Yes,Yes,PhD,Low,3,4.4
S1030,Ahmed,Brown,Business,Female,22,59.64,Low,86.31,44.03,60.61,66.37,80.3,74.39,68.67,D,24.2,High,Yes,Yes,None,Medium,2,5.6
S1031,Ali,Johnson,Engineering,Male,22,78.74,Medium,53.05,48.48,81.44,71.14,84.1,52.74,65.16,F,23.1,High,Yes,No,Master's,Low,2,8.1
S1032,Maria,Smith,Business,Female,21,66.41,Low,53.42,58.54,62.21,99.5,69.1,99.92,73.78,C,7.5,Low,Yes,No,Master's,Medium,3,4.1
S1033,Sara,Williams,Engineering,Male,19,91.02,High,56.5,42.61,74.7,68.47,65.7,67.92,62.65,D,15.4,Medium,No,No,None,Medium,7,4.8
S1034,Emma,Davis,CS,Female,21,59.2,Low,75.21,58.56,74.13,68.31,44.1,97.92,69.71,C,25.4,High,No,Yes,Master's,Medium,8,4.5
S1035,Ahmed,Smith,CS,Female,23,73.23,Medium,79.58,43.6,72.68,91.39,64.2,88.66,73.35,C,21.4,High,No,No,Bachelor's,Low,4,4.2
S1036,Maria,Davis,Mathematics,Female,18,50.68,Low,41.06,54.16,89.8,65.6,73.8,70.56,65.83,D,22,High,Yes,Yes,Master's,High,3,8.1
S1037,Ali,Williams,Mathematics,Male,21,74.08,Medium,54.51,55.94,60.83,61.69,12.3,55.92,50.2,F,10.7,Medium,Yes,Yes,High School,Low,7,5.4
